1,1,0.10
1,519,0.10
1,21,0.10
1,110,0.10
1,669,0.10
430,430,0.10
430,1061,0.10
430,247,0.10
430,12,0.10
430,229,0.10
3134,1,0.20
3134,3134,0.10
3134,160,0.10
3134,2846,0.10
3026,1,0.10
3026,3026,0.10
3026,507,0.20
3026,1985,0.10
3010,1,0.20
3010,3010,0.10
3010,160,0.10
3010,2586,0.10
804,804,0.10
804,7,0.20
804,204,0.10
804,7594,0.10
160,160,0.10
160,57,0.20
160,1728,0.10
160,2656,0.10
95,95,0.10
95,2953,0.10
377,377,0.20
377,399,0.10
377,363,0.10
377,3413,0.10
888,1,0.10
888,888,0.20
888,1886,0.20
89,1,0.10
89,89,0.10
89,493,0.20
89,752,0.10
1901,1,0.10
1901,1901,0.10
1901,507,0.10
1901,150,0.10
1901,478,0.10
161,161,0.10
161,30,0.10
161,43,0.10
161,204,0.10
161,1328,0.10
256,256,0.20
256,40,0.10
256,1226,0.10
256,947,0.10
351,1,0.10
351,351,0.10
351,2342,0.10
351,172,0.10
351,641,0.10
3329,1,0.20
3329,160,0.10
3329,3329,0.10
3329,3149,0.10
3341,1,0.10
3341,3341,0.10
3341,1128,0.10
3341,14,0.10
3341,2157,0.10
649,649,0.10
649,12,0.10
649,651,0.10
649,2423,0.10
1583,1,0.10
1583,1583,0.10
1583,30,0.10
1583,1337,0.10
1583,43,0.10
87,87,0.10
87,309,0.10
87,92,0.10
87,34,0.10
87,1381,0.10
37,37,0.10
37,126,0.10
37,54,0.10
37,293,0.10
37,7400,0.10
309,309,0.10
309,96,0.10
309,3,0.10
309,125,0.10
309,704,0.10
821,1,0.20
821,160,0.10
821,821,0.10
821,3375,0.10
1496,1,0.10
1496,1496,0.10
1496,3004,0.10
637,309,0.10
637,637,0.10
637,1353,0.10
637,141,0.10
637,759,0.10
964,964,0.10
964,30,0.10
964,173,0.10
964,207,0.10
964,32,0.10
594,1,0.10
594,160,0.10
594,594,0.20
594,1582,0.10
2249,1,0.10
2249,2249,0.10
2249,178,0.20
2249,2323,0.10
554,554,0.10
554,8,0.10
554,7507,0.10
554,1883,0.20
20,20,0.20
20,52,0.10
20,7565,0.10
20,1771,0.10
2227,1,0.10
2227,2227,0.10
2227,151,0.10
2227,1339,0.10
2227,218,0.10
1315,1,0.10
1315,1315,0.10
1315,1436,0.10
1315,7564,0.10
1315,183,0.10
519,519,0.10
519,242,0.10
519,49,0.10
519,199,0.10
519,451,0.10
1316,1,0.10
1316,1316,0.10
1316,2334,0.10
1316,3,0.10
1316,433,0.10
2149,1,0.20
2149,160,0.10
2149,2149,0.10
2149,1877,0.10
1724,1724,0.10
1724,14,0.20
1724,2157,0.10
1724,2796,0.10
18,18,0.10
18,121,0.10
18,2208,0.10
18,486,0.10
18,410,0.10
57,57,0.10
57,39,0.10
57,614,0.20
57,577,0.10
118,118,0.10
118,222,0.10
118,292,0.10
118,36,0.20
3254,3254,0.10
3254,10,0.10
3254,5,0.10
3254,103,0.10
3254,191,0.10
1177,1177,0.10
1177,110,0.10
1177,243,0.10
1177,959,0.20
112,112,0.10
112,2,0.10
112,30,0.10
112,1421,0.10
112,139,0.10
11,11,0.10
11,7,0.10
11,1495,0.10
11,7588,0.10
11,69,0.10
586,1,0.20
586,160,0.10
586,586,0.10
586,3300,0.10
35,35,0.10
35,15,0.10
35,352,0.10
35,7386,0.10
35,337,0.10
15,15,0.10
15,45,0.10
15,188,0.10
15,224,0.10
15,234,0.10
1445,1,0.10
1445,1445,0.10
1445,2898,0.10
152,152,0.10
152,42,0.10
152,66,0.10
152,48,0.10
152,101,0.10
2,2,0.10
2,7500,0.20
2,7482,0.20
113,113,0.10
113,9,0.10
113,30,0.10
113,43,0.10
113,1734,0.10
44,37,0.10
44,44,0.10
44,257,0.10
44,380,0.10
44,1076,0.10
2401,2401,0.10
2401,1875,0.10
2401,115,0.10
2401,287,0.10
2401,12,0.10
10,10,0.10
10,347,0.10
10,1749,0.10
10,159,0.10
10,69,0.10
2378,1,0.10
2378,2378,0.10
2378,625,0.20
2378,1469,0.10
126,126,0.10
126,114,0.10
126,7335,0.10
126,86,0.10
126,233,0.10
3245,1,0.10
3245,3245,0.10
3245,2713,0.10
783,10,0.10
783,783,0.10
783,7564,0.10
783,69,0.10
783,1752,0.10
493,95,0.10
493,11,0.20
493,493,0.10
493,1512,0.10
1358,1358,0.10
1358,2315,0.10
1358,3,0.20
1358,433,0.10
1180,1,0.10
1180,87,0.10
1180,1180,0.10
1180,1195,0.10
1180,707,0.10
529,529,0.10
529,2529,0.10
529,795,0.10
333,95,0.10
333,333,0.10
333,145,0.10
333,318,0.10
333,643,0.10
1538,1538,0.10
1538,177,0.20
1538,798,0.10
1538,1171,0.10
2282,1,0.10
2282,2282,0.10
2282,1198,0.10
2282,1570,0.10
2282,81,0.10
1519,1,0.10
1519,1519,0.10
1519,2750,0.10
2966,1,0.10
2966,351,0.10
2966,2966,0.10
2966,432,0.10
2966,82,0.10
474,474,0.30
474,2901,0.10
474,1912,0.10
330,330,0.10
330,43,0.10
330,7484,0.10
958,958,0.20
958,155,0.10
958,36,0.10
958,7504,0.10
17,17,0.10
17,159,0.10
17,165,0.10
17,647,0.10
17,65,0.10
1295,20,0.10
1295,1295,0.10
1295,4,0.10
1295,489,0.10
1295,1145,0.10
38,44,0.10
38,38,0.10
38,22,0.20
38,7579,0.10
1952,1,0.10
1952,1952,0.10
1952,1458,0.10
1952,52,0.10
1952,83,0.10
223,223,0.10
223,22,0.10
223,251,0.10
223,253,0.10
223,210,0.10
625,625,0.10
625,439,0.20
625,1044,0.20
1392,1392,0.10
1392,30,0.10
1392,19,0.10
1392,166,0.10
1392,5533,0.10
3355,1,0.20
3355,160,0.10
3355,3355,0.10
3355,1923,0.10
1881,1,0.10
1881,1295,0.10
1881,1881,0.10
1881,22,0.10
1881,51,0.10
58,11,0.10
58,58,0.20
58,412,0.10
58,3348,0.10
96,15,0.10
96,96,0.10
96,1590,0.10
96,104,0.10
96,832,0.10
1580,3254,0.10
1580,1580,0.10
1580,5,0.10
1580,36,0.10
1580,822,0.10
196,2,0.20
196,196,0.10
196,9,0.10
196,1957,0.10
146,146,0.10
146,250,0.10
146,31,0.10
146,106,0.10
146,715,0.10
416,416,0.10
416,810,0.10
416,165,0.10
416,7,0.10
416,163,0.10
1198,1198,0.10
1198,890,0.10
1198,81,0.10
1198,280,0.10
1198,1032,0.10
3319,1,0.10
3319,3319,0.10
3319,379,0.10
3319,40,0.10
3319,1226,0.10
1867,1,0.20
1867,493,0.10
1867,1538,0.10
1867,1867,0.10
896,896,0.10
896,120,0.10
896,49,0.10
896,7563,0.10
896,1071,0.10
617,617,0.10
617,172,0.10
617,641,0.20
617,27,0.10
3300,1,0.20
3300,160,0.10
3300,2249,0.10
3300,3300,0.10
1877,1,0.10
1877,1877,0.10
1877,231,0.10
1877,102,0.10
1877,48,0.10
462,1,0.20
462,160,0.10
462,462,0.10
462,1742,0.10
3279,1,0.10
3279,3279,0.10
3279,2767,0.10
454,454,0.10
454,21,0.10
454,7552,0.10
454,201,0.10
454,298,0.10
1860,89,0.10
1860,1860,0.10
1860,259,0.10
1860,395,0.10
1860,516,0.10
121,121,0.30
121,2165,0.10
121,2066,0.10
151,95,0.10
151,38,0.10
151,151,0.10
151,25,0.10
151,7548,0.10
1570,15,0.10
1570,196,0.10
1570,1570,0.10
1570,86,0.10
1570,337,0.10
1573,10,0.10
1573,1573,0.10
1573,432,0.10
1573,1195,0.10
1573,1772,0.10
1063,1063,0.10
1063,2285,0.20
1063,1053,0.20
1353,1353,0.10
1353,19,0.10
1353,241,0.10
1353,12,0.10
1353,3364,0.10
459,459,0.10
459,3,0.10
459,433,0.10
459,88,0.10
459,33,0.10
2334,1,0.10
2334,2334,0.10
2334,2764,0.10
1267,1,0.10
1267,1267,0.10
1267,1117,0.10
1267,480,0.10
1267,2038,0.10
1060,1,0.10
1060,1060,0.10
1060,2391,0.10
1060,397,0.10
1060,1196,0.10
1061,1061,0.10
1061,12,0.10
1061,904,0.10
1061,82,0.10
1061,526,0.10
7431,1,0.10
7431,554,0.10
7431,7431,0.10
7431,8,0.10
7431,32,0.10
1355,1,0.10
1355,38,0.10
1355,1355,0.10
1355,1482,0.10
1355,1483,0.10
71,71,0.30
71,968,0.10
71,2969,0.10
3070,1,0.10
3070,3070,0.10
3070,543,0.10
3070,356,0.10
3070,78,0.10
2113,1,0.20
2113,160,0.10
2113,2113,0.10
2113,2795,0.10
3001,38,0.10
3001,3001,0.10
3001,285,0.20
3001,2984,0.10
396,529,0.10
396,396,0.10
396,42,0.10
396,177,0.10
396,992,0.10
2260,1,0.10
2260,2260,0.10
2260,3402,0.10
142,142,0.10
142,915,0.10
142,1104,0.20
142,2516,0.10
2238,2238,0.10
2238,25,0.20
2238,3082,0.10
2238,7553,0.10
123,1,0.20
123,160,0.10
123,123,0.10
123,3210,0.10
2942,1,0.20
2942,160,0.10
2942,2942,0.10
2942,4721,0.10
1509,1509,0.10
1509,22,0.10
1509,51,0.10
1509,39,0.10
1509,201,0.10
7410,1,0.10
7410,7410,0.10
7410,3247,0.10
1760,1760,0.20
1760,810,0.10
1760,7,0.10
1760,1497,0.10
2876,1,0.10
2876,2876,0.10
2876,30,0.10
2876,1337,0.10
2876,43,0.10
259,259,0.10
259,115,0.10
259,59,0.10
259,494,0.10
259,2364,0.10
1493,11,0.20
1493,1493,0.10
1493,411,0.10
1493,171,0.10
2845,1,0.10
2845,2845,0.10
2845,2904,0.10
370,1,0.20
370,160,0.10
370,370,0.10
370,3290,0.10
2844,1,0.10
2844,2844,0.10
2844,42,0.10
2844,177,0.10
2844,798,0.10
2167,1,0.10
2167,3134,0.10
2167,617,0.10
2167,2167,0.10
2167,27,0.10
156,256,0.10
